uniprot	pdb	region_1	region_2	1_aligned	complex_rmsd	1_comp	2_aligned	2_comp
P0AG30	1a62	1-47	48-123	0.965	1.381	1.569	1.579	0.969
P0AG30	1a63	1-47	48-123	1.966	2.782	3.399	3.216	2.272
P0AG30	1a8v	1-47	48-123	1.274	1.469	1.725	1.577	1.532
Q9L869	1e3d	17-163	182-264	1.022	1.078	1.225	1.04	1.46
P23687	1e5t	1-426	427-710	1.202	1.075	0.854	0.815	1.235
P23687	1e8m	1-426	427-710	1.211	1.103	0.917	0.885	1.24
P23687	1e8n	1-426	427-710	1.204	1.088	0.883	0.853	1.242
P23687	1h2w	1-426	427-710	1.192	1.076	0.876	0.831	1.242
P23687	1h2x	1-426	427-710	1.203	1.081	0.871	0.829	1.242
P23687	1h2y	1-426	427-710	1.162	1.05	0.857	0.811	1.214
P23687	1h2z	1-426	427-710	1.169	1.084	0.959	0.91	1.214
P04807	1ig8	75-209	210-458	1.106	1.772	4.835	1.274	3.055
P23687	1o6f	1-426	427-710	1.203	1.09	0.893	0.853	1.247
P23687	1o6g	1-426	427-710	1.257	1.134	0.916	0.879	1.292
O60729	1ohc	44-198	214-374	1.356	1.517	1.747	1.637	1.466
O60729	1ohd	44-198	214-374	1.364	1.525	1.761	1.642	1.48
O60729	1ohe	44-198	214-374	1.382	1.54	1.799	1.679	1.443
P14677	1pmd	632-691	692-750	2.86	2.393	2.849	1.323	3.1
P0AG30	1pv4	1-47	48-123	2.278	1.756	1.515	1.324	2.4
P0AG30	1pvo	1-47	48-123	1.895	1.509	1.287	1.185	1.969
P59676	1pyy	632-691	692-750	1.236	1.215	1.236	1.203	1.191
P23687	1qfm	1-426	427-710	1.29	1.162	0.934	0.904	1.337
P23687	1qfs	1-426	427-710	1.321	1.208	1.016	0.989	1.349
P14677	1qme	632-691	692-750	1.266	1.111	0.937	0.935	1.275
P14677	1qmf	632-691	692-750	1.359	1.252	1.151	1.14	1.358
P14677	1rp5	632-691	692-750	1.196	1.705	10.4	0.689	25.65
P83789	1ru3	41-122	488-732	0.956	7.553	29.348	1.952	23.267
Q8GN86	1t5d	9-366	416-492	1.42	1.641	2.598	2.141	4.543
Q8GN86	1t5h	9-366	416-492	1.414	1.659	2.682	2.18	4.466
Q8X5N8	1u9t	27-155	204-335	1.407	2.174	1.261	1.174	1.483
P23687	1uoo	1-426	427-710	1.204	1.099	0.923	0.868	1.269
P23687	1uop	1-426	427-710	1.186	1.089	0.927	0.889	1.23
P23687	1uoq	1-426	427-710	1.184	1.097	0.953	0.914	1.24
P23687	1vz2	1-426	427-710	1.22	1.118	0.953	0.886	1.334
P23687	1vz3	1-426	427-710	1.196	1.076	0.873	0.823	1.253
P0AG30	1xpo	1-47	48-123	1.962	2.406	4.464	1.512	5.501
P0AG30	1xpr	1-47	48-123	3.332	3.017	4.289	1.285	6.362
P0AG30	1xpu	1-47	48-123	1.945	1.501	1.47	1.111	2.027
P04958	1yvg	1-250	251-451	5.82	5.695	5.465	4.661	6.486
P04958	1z7h	1-250	251-451	6.054	5.902	5.622	5.238	6.293
P0AG30	2a8v	1-47	48-123	1.359	1.569	1.811	1.66	1.559
O16025	2fnq	374-490	491-1066	1.827	1.916	2.655	1.905	2.176
P0AG30	2ht1	1-47	48-123	3.688	2.398	2.161	1.957	3.799
O69275	2j3v	1-226	227-427	2.056	1.942	2.758	1.352	2.631
O69275	2j3x	1-226	227-427	2.038	1.9	2.61	1.302	2.572
O69275	2j3z	1-226	227-427	1.626	1.533	2.033	1.193	1.944
Q87I71	2p3y	95-204	361-467	1.679	1.312	1.179	0.905	1.776
Q8GN86	2qvx	9-366	416-492	1.383	1.576	2.59	1.864	3.089
Q8GN86	2qvy	9-366	416-492	1.393	1.576	2.557	1.879	3.152
Q8GN86	2qvz	9-366	416-492	1.345	1.53	2.536	1.847	3.065
Q8GN86	2qw0	9-366	416-492	1.381	1.588	2.668	1.995	2.917
Q72AS4	2wpn	52-205	237-315	1.683	1.518	1.495	1.23	2.431
P23687	2xdw	1-426	427-710	1.196	1.084	0.896	0.842	1.261
