uniprot,region_1,region_2,af_filename,complex_mean_plddt,r1_mean_plddt,r2_mean_plddt,mean_pae_1_1,mean_pae_1_2,mean_pae_2_2
A0A044RE18,42-116,159-447,A0A044RE18_trimmed_6a786_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,88.6557407407407,87.877879256966,96.1137940630798,4.14483382030679,9.96220673798799,2.72502146026234
A0A378K7V6,1-116,262-345,A0A378K7V6_trimmed_bc580_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,88.7345189189189,79.4434829059829,89.4798985507246,11.1445965973535,18.678082765846,3.95576135868776
A0A544CH04,112-139,1-101,A0A544CH04_trimmed_80eba_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb,86.2306893542757,77.0710798122066,90.9052230046948,4.31884773662551,23.100562962963,3.866546
A2A5C2,"1-42,417-480","334-417,334-417",A2A5C2_trimmed_147f6_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,50.484915209327,42.7141075794621,96.1056940509915,24.2811948831133,26.6666098773724,2.13386413122369
B7YZY9,395-454,585-949,B7YZY9_trimmed_7499b_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,81.8992314279598,81.5261346153846,89.6133517017828,6.10440965239874,11.9438517414789,6.15777155536771
C8ZE58,604-741,855-886,C8ZE58_trimmed_e3378_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,57.302271307452,64.2062102473498,81.3915298507463,19.1819825243753,18.6087449964681,5.64232049947971
Q04584,100-267,352-538,Q04584_trimmed_6d582_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,64.2569441957625,41.2148606557377,89.8073587474473,24.4325311054538,29.4210733371966,8.63244016649324
Q15942,61-346,384-570,Q15942_trimmed_334f7_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,61.0261256816411,38.4234741338396,91.4163190607735,26.7217927977839,28.8628734201094,7.34476326742976
Q39253,1-36,56-62,Q39253_trimmed_5351f_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb,58.5109243697479,56.3216165413534,59.1827868852459,16.4667836734694,27.7257619047619,3.93777777777778
Q48F24,175-347,249-253,Q48F24_trimmed_bcdb8_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,97.9547646103896,97.9547646103896,97.4013513513514,2.24080613899767,2.01303459119497,0.865
Q75UG7,265-870,30-264,Q75UG7_trimmed_4891e_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,85.3278322692978,88.0592162758068,78.1670993168681,10.5779132299706,16.330742035742,6.16150431002995
Q8IZQ8,1-149,700-938,Q8IZQ8_trimmed_10d4d_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,51.397155027933,74.8772020287405,42.2561626637555,18.4893261504748,25.6535004542358,24.285500141233
Q93107,91-157,469-725,Q93107_trimmed_d3748_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,63.7733005557931,74.9538387715931,88.0107214428858,9.60743801652893,14.347734375,6.10326782226563
Q9EQU5,1-37,237-290,Q9EQU5_trimmed_d4f12_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,78.2978334749363,46.7204411764706,53.7059615384616,16.1769598765432,29.3881303418803,18.1196930473373
Q9HES9,895-927,9-342,Q9HES9_trimmed_d8a83_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,73.7266662032531,40.0476190476191,86.6768034388433,14.41875,26.8813156906907,6.22225640054469
Q9UR24,6-16,273-498,Q9UR24_trimmed_2100a_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,73.8185865457294,57.542530120482,83.5805937328202,4.6066,29.5344,8.53500740740741
